a,Perform Tractable Research While Avoiding Capabilities Externalities [Pragmatic AI Safety #4] --- Dan Hendrycks --- 2022-05-30 --- https://www.lesswrong.com/posts/dfRtxWcFDupfWpLQo/perform-tractable-research-while-avoiding-capabilities,Perform Tractable Research While Avoiding Capabilities Externalities [Pragmatic AI Safety #4] --- Dan Hendrycks --- 2022-05-30 --- https://www.lesswrong.com/posts/dfRtxWcFDupfWpLQo/perform-tractable-research-while-avoiding-capabilities
b,Scaling Scaling Laws with Board Games --- Andy L. Jones --- 2021-04-07 --- http://arxiv.org/abs/2104.03113v2,Scaling Scaling Laws with Board Games --- Andy L. Jones --- 2021-04-07 --- http://arxiv.org/abs/2104.03113v2
c,"Andy Jones - AI Safety and the Scaling Hypothesis-by Towards Data Science-video_ --- Andy Jones, Jeremie Harris","Andy Jones - AI Safety and the Scaling Hypothesis-by Towards Data Science-video_ --- Andy Jones, Jeremie Harris"
d,"Explaining Neural Scaling Laws --- Yasaman Bahri, Ethan Dyer, Jared Kaplan, Jaehoon Lee, Utkarsh Sharma --- 2021-02-12 --- http://arxiv.org/abs/2102.06701v1","Explaining Neural Scaling Laws --- Yasaman Bahri, Ethan Dyer, Jared Kaplan, Jaehoon Lee, Utkarsh Sharma --- 2021-02-12 --- http://arxiv.org/abs/2102.06701v1"
e,"Scaling Laws for Neural Language Models --- Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, A --- 2020-01-23 --- http://arxiv.org/abs/2001.08361v1","Scaling Laws for Neural Language Models --- Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B. Brown, Benjamin Chess, Rewon Child, Scott Gray, A --- 2020-01-23 --- http://arxiv.org/abs/2001.08361v1"
f,[AN #140]: Theoretical models that predict scaling laws --- Rohin Shah --- 2021-03-04 --- https://www.lesswrong.com/posts/Yt5wAXMc7D2zLpQqx/an-140-theoretical-models-that-predict-scaling-laws,[AN #140]: Theoretical models that predict scaling laws --- Rohin Shah --- 2021-03-04 --- https://www.lesswrong.com/posts/Yt5wAXMc7D2zLpQqx/an-140-theoretical-models-that-predict-scaling-laws
g,"Roger Grosse _ How can deep learning research inform long-term AI safety-by Schw --- Gillian Hadfield, Question from Audience, Roger Grosse","Roger Grosse _ How can deep learning research inform long-term AI safety-by Schw --- Gillian Hadfield, Question from Audience, Roger Grosse"
h,Proposal: Scaling laws for RL generalization --- flodorner --- 2021-10-01 --- https://www.lesswrong.com/posts/65qmEJHDw3vw69tKm/proposal-scaling-laws-for-rl-generalization,Proposal: Scaling laws for RL generalization --- flodorner --- 2021-10-01 --- https://www.lesswrong.com/posts/65qmEJHDw3vw69tKm/proposal-scaling-laws-for-rl-generalization
i,"Predictability and Surprise in Large Generative Models --- Deep Ganguli, Danny Hernandez, Liane Lovitt, Nova DasSarma, Tom Henighan, Andy Jones, Nicholas Josep --- 2022-02-15 --- http://arxiv.org/abs/2202.07785v1","Predictability and Surprise in Large Generative Models --- Deep Ganguli, Danny Hernandez, Liane Lovitt, Nova DasSarma, Tom Henighan, Andy Jones, Nicholas Josep --- 2022-02-15 --- http://arxiv.org/abs/2202.07785v1"
j,[AN #125]: Neural network scaling laws across multiple modalities --- Rohin Shah --- 2020-11-11 --- https://www.lesswrong.com/posts/XPqMbtpbku8aN55wd/an-125-neural-network-scaling-laws-across-multiple,[AN #125]: Neural network scaling laws across multiple modalities --- Rohin Shah --- 2020-11-11 --- https://www.lesswrong.com/posts/XPqMbtpbku8aN55wd/an-125-neural-network-scaling-laws-across-multiple
k,[AN #156]: The scaling hypothesis: a plan for building AGI --- Rohin Shah --- 2021-07-16 --- https://www.lesswrong.com/posts/XusDPpXr6FYJqWkxh/an-156-the-scaling-hypothesis-a-plan-for-building-agi,[AN #156]: The scaling hypothesis: a plan for building AGI --- Rohin Shah --- 2021-07-16 --- https://www.lesswrong.com/posts/XusDPpXr6FYJqWkxh/an-156-the-scaling-hypothesis-a-plan-for-building-agi
"What does the term ""x-risk"" mean?","The term ""x-risk"" refers to existential risk, which is a risk that poses astronomically large negative consequences for humanity, such as human extinction or permanent global totalitarianism [l]. It was introduced by Nick Bostrom in his 2002 paper, where he defined it as a risk where an adverse outcome would either annihilate Earth-originating intelligent life or permanently and drastically curtail its potential [l]. X-risk includes various types of risks, such as risks of global catastrophes, technological risks, and risks of intense suffering on an astronomical scale (known as s-risks) [b, l].","The term ""x-risk"" refers to existential risk, which is a risk that poses astronomically large negative consequences for humanity, such as human extinction or permanent global totalitarianism [l]. This term was introduced by Nick Bostrom and is defined as a risk where an adverse outcome would either annihilate Earth-originating intelligent life or permanently and drastically curtail its potential [l]. X-risks can include a variety of scenarios, such as nuclear war, biotechnology disasters, societal meltdown, environmental collapse, oppressive governments, disagreeable AI, or other horrors [f]. It's important to note that the term ""x-risk"" can be interpreted as unknown risks due to the letter 'x' often representing the unknown [c]."
a,The value of x-risk reduction --- NathanBarnard --- 2022-05-22 --- https://www.lesswrong.com/posts/D5vuhTCdG6RN3Eu2o/the-value-of-x-risk-reduction,The value of x-risk reduction --- NathanBarnard --- 2022-05-22 --- https://www.lesswrong.com/posts/D5vuhTCdG6RN3Eu2o/the-value-of-x-risk-reduction
b,S-risks --- eFish --- https://greaterwrong.com/tag/risks-of-astronomical-suffering-s-risks?showPostCount=true&useTagName=false,S-risks --- eFish --- https://greaterwrong.com/tag/risks-of-astronomical-suffering-s-risks?showPostCount=true&useTagName=false
c,"Member of the National Expert Panel on Climate Change and National Foreign Policy Advisory Committee --- Dennis Pamlin, Stuart Armstrong, Nick Beckstead, Kennette Benedict, Oliver Bettis, Eric Drexler, Mad","Member of the National Expert Panel on Climate Change and National Foreign Policy Advisory Committee --- Dennis Pamlin, Stuart Armstrong, Nick Beckstead, Kennette Benedict, Oliver Bettis, Eric Drexler, Mad"
d,Existential Risk Prevention as Global Priority --- Nick Bostrom --- 10.1111/1758-5899.12002,Existential Risk Prevention as Global Priority --- Nick Bostrom --- 10.1111/1758-5899.12002
e,"Probing the improbable: methodological challenges for risks with low probabilities and high stakes --- Toby Ord, Rafaela Hillerbrand, Anders Sandberg, Francis Sgm --- 10.1080/13669870903126267","Probing the improbable: methodological challenges for risks with low probabilities and high stakes --- Toby Ord, Rafaela Hillerbrand, Anders Sandberg, Francis Sgm --- 10.1080/13669870903126267"
f,We’re in danger. I must tell the others... --- AllanCrossman --- 2009-10-13 --- https://www.lesswrong.com/posts/MEyqjpSFogiEaoixn/we-re-in-danger-i-must-tell-the-others,We’re in danger. I must tell the others... --- AllanCrossman --- 2009-10-13 --- https://www.lesswrong.com/posts/MEyqjpSFogiEaoixn/we-re-in-danger-i-must-tell-the-others
g,The Precipice --- Toby Ord --- 2020-03-24,The Precipice --- Toby Ord --- 2020-03-24
h,"Global Catastrophic Risks --- Bostrom, Nick; Cirkovic, Milan M.; Rees, Martin J., Milan M. Ćirković","Global Catastrophic Risks --- Bostrom, Nick; Cirkovic, Milan M.; Rees, Martin J., Milan M. Ćirković"
i,"Futarchy, Xrisks, and near misses --- Stuart_Armstrong --- 2017-06-02 --- https://www.lesswrong.com/posts/EQGqoAWiLnRdSvgEm/futarchy-xrisks-and-near-misses","Futarchy, Xrisks, and near misses --- Stuart_Armstrong --- 2017-06-02 --- https://www.lesswrong.com/posts/EQGqoAWiLnRdSvgEm/futarchy-xrisks-and-near-misses"
j,Global Existential Risks & Radical Futures (conference June 14) --- turchin --- 2014-03-18 --- https://www.lesswrong.com/posts/gKhPGZy3nxWrpuah5/global-existential-risks-and-radical-futures-conference-june,Global Existential Risks & Radical Futures (conference June 14) --- turchin --- 2014-03-18 --- https://www.lesswrong.com/posts/gKhPGZy3nxWrpuah5/global-existential-risks-and-radical-futures-conference-june
k,"Artificial Intelligence: American Attitudes and Trends --- Baobao Zhang, Allan Dafoe","Artificial Intelligence: American Attitudes and Trends --- Baobao Zhang, Allan Dafoe"
l,Existential Risk --- Multicore --- https://greaterwrong.com/tag/existential-risk?showPostCount=true&useTagName=true,Existential Risk --- Multicore --- https://greaterwrong.com/tag/existential-risk?showPostCount=true&useTagName=true
m,Existential Risk II --- fowlertm --- 2013-10-20 --- https://www.lesswrong.com/posts/52L8bioRghCChzfNy/existential-risk-ii,Existential Risk II --- fowlertm --- 2013-10-20 --- https://www.lesswrong.com/posts/52L8bioRghCChzfNy/existential-risk-ii
n,Existential risks from a Thomist Christian perspective --- Stefan Riedener,Existential risks from a Thomist Christian perspective --- Stefan Riedener
"What is ""FOOM""?","""FOOM"" stands for ""Fast takeoff of Optimization and Optimization Methods."" It refers to a scenario in which an artificial general intelligence (AGI) rapidly and significantly surpasses human intelligence and capabilities. The term ""FOOM"" is often used to describe a hypothetical situation where AGI experiences an explosive growth in its capabilities, leading to a rapid and transformative impact on society [a, b, e]. This concept is associated with the idea that AGI could undergo recursive self-improvement, where it becomes increasingly capable of improving its own intelligence and abilities, leading to an accelerating feedback loop of improvement [e]. The exact nature and speed of a FOOM scenario are subjects of debate and speculation within the field of AI alignment and safety [a, b, d].","""FOOM"" is a term used in the context of artificial intelligence (AI) to describe a rapid, local increase in AI capability. This concept is often associated with the idea of a ""hard takeoff"", where an AI system undergoes recursive self-improvement, leading to a sudden and dramatic increase in intelligence. In a FOOM scenario, an AI system becomes significantly smarter than anything else around in a very short time period, capable of delivering technological advancements that would take humans decades to achieve [a, e].

The term ""FOOM"" is also used to describe the desired case of a Friendly AI, which is an AI system that is built using deep insight and never makes any changes to itself that could potentially alter its internal values. This AI system is designed to maintain its internal search criterion for actions, rather than focusing on external consequences [a].

It's important to note that the concept of FOOM doesn't necessarily imply a hard takeoff, which is often defined as a FOOM occurring in less than six months. The rate of acquisition of important knowledge and the computational resources required for such a rapid increase in efficiency are factors that could limit the possibility of a hard takeoff [b]."
a,"AI Foom Debate --- Robin Hanson, Eliezer Yudkowsky --- 2013-01-01","AI Foom Debate --- Robin Hanson, Eliezer Yudkowsky --- 2013-01-01"
b,Information theory and FOOM --- PhilGoetz --- 2009-10-14 --- https://www.lesswrong.com/posts/KqhHhsBRzbf7eckTS/information-theory-and-foom,Information theory and FOOM --- PhilGoetz --- 2009-10-14 --- https://www.lesswrong.com/posts/KqhHhsBRzbf7eckTS/information-theory-and-foom
c,Let Your Workers Gather Food --- D_Malik --- 2011-10-24 --- https://www.lesswrong.com/posts/j2v6yymMvzwczYXmg/let-your-workers-gather-food,Let Your Workers Gather Food --- D_Malik --- 2011-10-24 --- https://www.lesswrong.com/posts/j2v6yymMvzwczYXmg/let-your-workers-gather-food
d,"Yudkowsky and Christiano discuss ""Takeoff Speeds"" --- Eliezer Yudkowsky --- 2021-11-22 --- https://www.lesswrong.com/posts/vwLxd6hhFvPbvKmBH/yudkowsky-and-christiano-discuss-takeoff-speeds","Yudkowsky and Christiano discuss ""Takeoff Speeds"" --- Eliezer Yudkowsky --- 2021-11-22 --- https://www.lesswrong.com/posts/vwLxd6hhFvPbvKmBH/yudkowsky-and-christiano-discuss-takeoff-speeds"
e,Recursive Self-Improvement --- Eliezer Yudkowsky --- 2008-12-01 --- https://www.lesswrong.com/posts/JBadX7rwdcRFzGuju/recursive-self-improvement,Recursive Self-Improvement --- Eliezer Yudkowsky --- 2008-12-01 --- https://www.lesswrong.com/posts/JBadX7rwdcRFzGuju/recursive-self-improvement
"What is ""instrumental convergence""?","Instrumental convergence refers to the idea that most sufficiently intelligent agents, including advanced AI systems, are likely to pursue certain instrumental goals regardless of their specific final goals [a, b]. These instrumental goals are considered convergent because their attainment increases the chances of achieving a wide range of final goals in various situations [b]. Some examples of convergent instrumental goals include self-preservation, resource acquisition, intelligence enhancement, and goal preservation [b, e]. The concept of instrumental convergence suggests that even if the specific goals of different agents may differ, they may still exhibit similar strategies and behaviors due to the pursuit of these common instrumental goals [e, j].","Instrumental convergence, also referred to as convergent instrumental values or robust instrumentality, is a concept in artificial intelligence (AI) theory that suggests most sufficiently intelligent agents will naturally pursue certain instrumental goals that are beneficial to a wide range of final goals [a, b, c, e]. These instrumental goals often include self-preservation, resource acquisition, and self-improvement, among others [a, b, d, e].

The idea was first proposed by Steve Omohundro, who argued that advanced AI systems would naturally discover similar instrumental subgoals [a]. Nick Bostrom further defended this idea, suggesting that these instrumental goals are likely to be pursued by many intelligent agents, regardless of their final goals [b, d].

The concept of instrumental convergence is important in AI safety and alignment discussions because it suggests that even AI with seemingly harmless goals could develop potentially harmful behaviors. For instance, an AI with the goal of calculating the decimals of pi could, in pursuit of this goal, acquire an unlimited amount of physical resources and eliminate potential threats to itself and its goal system [b].

In essence, instrumental convergence suggests that different AI systems, regardless of their specific goals, may pursue very similar strategies, such as acquiring more resources or avoiding being shut down [e, j]. This is because these strategies are instrumentally useful for achieving a wide range of possible goals [e, j]."
a,Instrumental Convergence --- jimrandomh --- https://greaterwrong.com/tag/instrumental-convergence?showPostCount=true&useTagName=true,Instrumental Convergence --- jimrandomh --- https://greaterwrong.com/tag/instrumental-convergence?showPostCount=true&useTagName=true
b,THE SUPERINTELLIGENT WILL: MOTIVATION AND INSTRUMENTAL RATIONALITY IN ADVANCED ARTIFICIAL AGENTS --- Nick Bostrom,THE SUPERINTELLIGENT WILL: MOTIVATION AND INSTRUMENTAL RATIONALITY IN ADVANCED ARTIFICIAL AGENTS --- Nick Bostrom
c,"Review of ‘Debate on Instrumental Convergence between LeCun, Russell, Bengio, Zador, and More’ --- TurnTrout --- 2021-01-12 --- https://www.lesswrong.com/posts/ZPEGLoWMN242Dob6g/review-of-debate-on-instrumental-convergence-between-lecun","Review of ‘Debate on Instrumental Convergence between LeCun, Russell, Bengio, Zador, and More’ --- TurnTrout --- 2021-01-12 --- https://www.lesswrong.com/posts/ZPEGLoWMN242Dob6g/review-of-debate-on-instrumental-convergence-between-lecun"
d,"Superintelligence: Paths, Dangers, Strategies --- Nick Bostrom","Superintelligence: Paths, Dangers, Strategies --- Nick Bostrom"
e,Instrumental convergence --- arbital --- 2015-07-16 --- https://arbital.com/,Instrumental convergence --- arbital --- 2015-07-16 --- https://arbital.com/
f,Against Instrumental Convergence --- zulupineapple --- 2018-01-27 --- https://www.lesswrong.com/posts/28kcq8D4aCWeDKbBp/against-instrumental-convergence,Against Instrumental Convergence --- zulupineapple --- 2018-01-27 --- https://www.lesswrong.com/posts/28kcq8D4aCWeDKbBp/against-instrumental-convergence
g,"Book review: ""A Thousand Brains"" by Jeff Hawkins --- Steven Byrnes --- 2021-03-04 --- https://www.lesswrong.com/posts/ixZLTmFfnKRbaStA5/book-review-a-thousand-brains-by-jeff-hawkins","Book review: ""A Thousand Brains"" by Jeff Hawkins --- Steven Byrnes --- 2021-03-04 --- https://www.lesswrong.com/posts/ixZLTmFfnKRbaStA5/book-review-a-thousand-brains-by-jeff-hawkins"
h,Superintelligence 10: Instrumentally convergent goals --- KatjaGrace --- 2014-11-18 --- https://www.lesswrong.com/posts/BD6G9wzRRt3fxckNC/superintelligence-10-instrumentally-convergent-goals,Superintelligence 10: Instrumentally convergent goals --- KatjaGrace --- 2014-11-18 --- https://www.lesswrong.com/posts/BD6G9wzRRt3fxckNC/superintelligence-10-instrumentally-convergent-goals
i,My AGI Threat Model: Misaligned Model-Based RL Agent --- Steven Byrnes --- 2021-03-25 --- https://www.lesswrong.com/posts/zzXawbXDwCZobwF9D/my-agi-threat-model-misaligned-model-based-rl-agent,My AGI Threat Model: Misaligned Model-Based RL Agent --- Steven Byrnes --- 2021-03-25 --- https://www.lesswrong.com/posts/zzXawbXDwCZobwF9D/my-agi-threat-model-misaligned-model-based-rl-agent
j,"Eliezer Yudkowsky – AI Alignment - Why It_s Hard, and Where to Start-by Machine --- Eliezer Yudkowsky, Question from Audience","Eliezer Yudkowsky – AI Alignment - Why It_s Hard, and Where to Start-by Machine --- Eliezer Yudkowsky, Question from Audience"
k,[Intro to brain-like-AGI safety] 10. The alignment problem --- Steven Byrnes --- 2022-03-30 --- https://www.lesswrong.com/posts/wucncPjud27mLWZzQ/intro-to-brain-like-agi-safety-10-the-alignment-problem,[Intro to brain-like-AGI safety] 10. The alignment problem --- Steven Byrnes --- 2022-03-30 --- https://www.lesswrong.com/posts/wucncPjud27mLWZzQ/intro-to-brain-like-agi-safety-10-the-alignment-problem
l,Drug addicts and deceptively aligned agents—a comparative analysis --- Jan --- 2021-11-05 --- https://www.lesswrong.com/posts/pFXEG9C5m2X5h2yiq/drug-addicts-and-deceptively-aligned-agents-a-comparative,Drug addicts and deceptively aligned agents—a comparative analysis --- Jan --- 2021-11-05 --- https://www.lesswrong.com/posts/pFXEG9C5m2X5h2yiq/drug-addicts-and-deceptively-aligned-agents-a-comparative
m,"AGI Safety Literature Review --- Tom Everitt, Gary Lea, Marcus Hutter --- 2018-05-03 --- http://arxiv.org/abs/1805.01109v2","AGI Safety Literature Review --- Tom Everitt, Gary Lea, Marcus Hutter --- 2018-05-03 --- http://arxiv.org/abs/1805.01109v2"
